Date,Time,GHI_clear,GHI
1/29,18,526,392
1/29,19,631,550
1/29,20,673,559
1/29,21,646,622
1/29,22,554,505
1/29,23,406,292
1/30,0,221,160
1/30,1,40,27
1/30,2,0,0
1/30,3,0,0
1/30,4,0,0
1/30,5,0,0
1/30,6,0,0
1/30,7,0,0
1/30,8,0,0
1/30,9,0,0
1/30,10,0,0
1/30,11,0,0
1/30,12,0,0
1/30,13,0,0
1/30,14,0,0
1/30,15,12,5
1/30,16,174,75
1/30,17,364,173
1/30,18,521,392
1/30,19,626,435
1/30,20,667,422
1/30,21,634,400
1/30,22,545,335
1/30,23,400,270
1/31,0,217,144
1/31,1,39,25
1/31,2,0,0
1/31,3,0,0
1/31,4,0,0
1/31,5,0,0
1/31,6,0,0
1/31,7,0,0
1/31,8,0,0
1/31,9,0,0
1/31,10,0,0
1/31,11,0,0
1/31,12,0,0
1/31,13,0,0
1/31,14,0,0
1/31,15,14,14
1/31,16,181,181
1/31,17,374,374
1/31,18,536,536
1/31,19,642,642
1/31,20,685,685
1/31,21,657,657
1/31,22,566,566
1/31,23,418,418
2/1,0,230,230
2/1,1,44,44
2/1,2,0,0
2/1,3,0,0
2/1,4,0,0
2/1,5,0,0
2/1,6,0,0
2/1,7,0,0
2/1,8,0,0
2/1,9,0,0
2/1,10,0,0
2/1,11,0,0
2/1,12,0,0
2/1,13,0,0
2/1,14,0,0
2/1,15,15,15
2/1,16,179,179
2/1,17,370,370
2/1,18,533,533
2/1,19,636,618
2/1,20,676,660
2/1,21,645,576
2/1,22,553,444
2/1,23,405,400
2/2,0,222,205
2/2,1,44,44
2/2,2,0,0
2/2,3,0,0
2/2,4,0,0
2/2,5,0,0
2/2,6,0,0
2/2,7,0,0
2/2,8,0,0
2/2,9,0,0
2/2,10,0,0
2/2,11,0,0
2/2,12,0,0
2/2,13,0,0
2/2,14,0,0
2/2,15,16,15
2/2,16,177,173
2/2,17,367,352
2/2,18,528,505
2/2,19,634,634
2/2,20,676,676
2/2,21,649,649
2/2,22,559,559
2/2,23,414,414
2/3,0,230,217
2/3,1,48,44
2/3,2,0,0
2/3,3,0,0
2/3,4,0,0
2/3,5,0,0
2/3,6,0,0
2/3,7,0,0
2/3,8,0,0
2/3,9,0,0
2/3,10,0,0
2/3,11,0,0
2/3,12,0,0
2/3,13,0,0
2/3,14,0,0
2/3,15,16,16
2/3,16,180,180
2/3,17,370,370
2/3,18,530,530
2/3,19,637,637
2/3,20,678,678
2/3,21,654,654
2/3,22,565,565
2/3,23,419,419
2/4,0,235,235
2/4,1,51,39
2/4,2,0,0
2/4,3,0,0
2/4,4,0,0
2/4,5,0,0
2/4,6,0,0
2/4,7,0,0
2/4,8,0,0
2/4,9,0,0
2/4,10,0,0
2/4,11,0,0
2/4,12,0,0
2/4,13,0,0
2/4,14,0,0
2/4,15,18,18
2/4,16,187,187
2/4,17,379,379
2/4,18,540,540
2/4,19,645,645
2/4,20,687,687
2/4,21,662,662
2/4,22,572,572
2/4,23,425,420
2/5,0,240,239
2/5,1,54,49
2/5,2,0,0
2/5,3,0,0
2/5,4,0,0
2/5,5,0,0
2/5,6,0,0
2/5,7,0,0
2/5,8,0,0
2/5,9,0,0
2/5,10,0,0
2/5,11,0,0
2/5,12,0,0
2/5,13,0,0
2/5,14,0,0
2/5,15,19,18
2/5,16,188,188
2/5,17,380,380
2/5,18,545,545
2/5,19,653,653
2/5,20,696,696
2/5,21,671,671
2/5,22,582,582
2/5,23,435,435
2/6,0,247,247
2/6,1,57,57
2/6,2,0,0
2/6,3,0,0
2/6,4,0,0
2/6,5,0,0
2/6,6,0,0
2/6,7,0,0
2/6,8,0,0
2/6,9,0,0
2/6,10,0,0
2/6,11,0,0
2/6,12,0,0
2/6,13,0,0
2/6,14,0,0
2/6,15,21,21
2/6,16,198,198
2/6,17,393,393
2/6,18,555,555
2/6,19,664,664
2/6,20,707,707
2/6,21,679,679
2/6,22,588,588
2/6,23,438,438
2/7,0,250,250
2/7,1,60,60
2/7,2,0,0
2/7,3,0,0
2/7,4,0,0
2/7,5,0,0
2/7,6,0,0
2/7,7,0,0
2/7,8,0,0
2/7,9,0,0
2/7,10,0,0
2/7,11,0,0
2/7,12,0,0
2/7,13,0,0
2/7,14,0,0
2/7,15,26,26
2/7,16,208,208
2/7,17,405,405
2/7,18,566,566
2/7,19,674,674
2/7,20,717,717
2/7,21,690,690
2/7,22,597,597
2/7,23,448,448
2/8,0,259,259
2/8,1,64,64
2/8,2,0,0
2/8,3,0,0
2/8,4,0,0
2/8,5,0,0
2/8,6,0,0
2/8,7,0,0
2/8,8,0,0
2/8,9,0,0
2/8,10,0,0
2/8,11,0,0
2/8,12,0,0
2/8,13,0,0
2/8,14,0,0
2/8,15,26,26
2/8,16,208,208
2/8,17,406,406
2/8,18,569,569
2/8,19,678,678
2/8,20,721,721
2/8,21,697,697
2/8,22,606,606
2/8,23,457,457
2/9,0,266,266
2/9,1,70,70
2/9,2,0,0
2/9,3,0,0
2/9,4,0,0
2/9,5,0,0
2/9,6,0,0
2/9,7,0,0
2/9,8,0,0
2/9,9,0,0
2/9,10,0,0
2/9,11,0,0
2/9,12,0,0
2/9,13,0,0
2/9,14,0,0
2/9,15,28,25
2/9,16,212,212
2/9,17,409,409
2/9,18,572,572
2/9,19,680,680
2/9,20,723,723
2/9,21,692,692
2/9,22,600,600
2/9,23,450,442
2/10,0,261,261
2/10,1,68,68
2/10,2,0,0
2/10,3,0,0
2/10,4,0,0
2/10,5,0,0
2/10,6,0,0
2/10,7,0,0
2/10,8,0,0
2/10,9,0,0
2/10,10,0,0
2/10,11,0,0
2/10,12,0,0
2/10,13,0,0
2/10,14,0,0
2/10,15,29,6
2/10,16,214,22
2/10,17,410,138
2/10,18,571,324
2/10,19,676,505
2/10,20,718,692
2/10,21,691,658
2/10,22,599,599
2/10,23,449,432
2/11,0,262,237
2/11,1,69,64
2/11,2,0,0
2/11,3,0,0
2/11,4,0,0
2/11,5,0,0
2/11,6,0,0
2/11,7,0,0
2/11,8,0,0
2/11,9,0,0
2/11,10,0,0
2/11,11,0,0
2/11,12,0,0
2/11,13,0,0
2/11,14,0,0
2/11,15,34,32
2/11,16,235,235
2/11,17,442,442
2/11,18,605,605
2/11,19,714,714
2/11,20,758,758
2/11,21,725,725
2/11,22,627,607
2/11,23,469,450
2/12,0,273,207
2/12,1,72,41
2/12,2,0,0
2/12,3,0,0
2/12,4,0,0
2/12,5,0,0
2/12,6,0,0
2/12,7,0,0
2/12,8,0,0
2/12,9,0,0
2/12,10,0,0
2/12,11,0,0
2/12,12,0,0
2/12,13,0,0
2/12,14,0,0
2/12,15,34,4
2/12,16,221,23
2/12,17,422,137
2/12,18,584,382
2/12,19,691,460
2/12,20,735,450
2/12,21,706,354
2/12,22,612,279
2/12,23,462,152
2/13,0,271,60
2/13,1,74,15
2/13,2,0,0
2/13,3,0,0
2/13,4,0,0
2/13,5,0,0
2/13,6,0,0
2/13,7,0,0
2/13,8,0,0
2/13,9,0,0
2/13,10,0,0
2/13,11,0,0
2/13,12,0,0
2/13,13,0,0
2/13,14,0,0
2/13,15,34,17
2/13,16,217,217
2/13,17,418,418
2/13,18,585,585
2/13,19,695,695
2/13,20,740,740
2/13,21,713,422
2/13,22,622,265
2/13,23,473,170
2/14,0,281,91
2/14,1,81,15
2/14,2,0,0
2/14,3,0,0
2/14,4,0,0
2/14,5,0,0
2/14,6,0,0
2/14,7,0,0
2/14,8,0,0
2/14,9,0,0
2/14,10,0,0
2/14,11,0,0
2/14,12,0,0
2/14,13,0,0
2/14,14,0,0
2/14,15,35,17
2/14,16,214,122
2/14,17,407,144
2/14,18,564,291
2/14,19,672,254
2/14,20,717,315
2/14,21,698,258
2/14,22,607,474
2/14,23,461,461
2/15,0,273,263
2/15,1,79,65
2/15,2,0,0
2/15,3,0,0
2/15,4,0,0
2/15,5,0,0
2/15,6,0,0
2/15,7,0,0
2/15,8,0,0
2/15,9,0,0
2/15,10,0,0
2/15,11,0,0
2/15,12,0,0
2/15,13,0,0
2/15,14,0,0
2/15,15,41,41
2/15,16,236,236
2/15,17,437,437
2/15,18,601,601
2/15,19,710,710
2/15,20,753,753
2/15,21,727,727
2/15,22,636,636
2/15,23,486,486
2/16,0,293,293
2/16,1,90,90
2/16,2,0,0
2/16,3,0,0
2/16,4,0,0
2/16,5,0,0
2/16,6,0,0
2/16,7,0,0
2/16,8,0,0
2/16,9,0,0
2/16,10,0,0
2/16,11,0,0
2/16,12,0,0
2/16,13,0,0
2/16,14,0,0
2/16,15,48,38
2/16,16,253,253
2/16,17,460,460
2/16,18,622,622
2/16,19,732,732
2/16,20,772,772
2/16,21,744,744
2/16,22,647,647
2/16,23,494,494
2/17,0,299,299
2/17,1,93,91
2/17,2,0,0
2/17,3,0,0
2/17,4,0,0
2/17,5,0,0
2/17,6,0,0
2/17,7,0,0
2/17,8,0,0
2/17,9,0,0
2/17,10,0,0
2/17,11,0,0
2/17,12,0,0
2/17,13,0,0
2/17,14,0,0
2/17,15,50,50
2/17,16,250,250
2/17,17,455,455
2/17,18,622,622
2/17,19,731,731
2/17,20,774,774
2/17,21,748,748
2/17,22,655,655
2/17,23,502,502
2/18,0,306,306
2/18,1,97,97
2/18,2,0,0
2/18,3,0,0
2/18,4,0,0
2/18,5,0,0
2/18,6,0,0
2/18,7,0,0
2/18,8,0,0
2/18,9,0,0
2/18,10,0,0
2/18,11,0,0
2/18,12,0,0
2/18,13,0,0
2/18,14,0,0
2/18,15,52,52
2/18,16,250,250
2/18,17,451,451
2/18,18,616,616
2/18,19,726,726
2/18,20,768,768
2/18,21,738,738
2/18,22,642,642
